3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,EXTERNAL_ID,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,Cost 
,,,Noir,"Hampton Side Table, Hand Rubbed Black","30"" x 36"" x 22""",,Brown,GTAB245HB,"$1,150.00 ",,X,,X,,,,,,,,X,X,High,,,,X,,X,X,,X,,,X,,,X,,,,X,,X,,,,,,,,,X,,,X,,,,,,$503.00
,,,Noir,"Hampton Side Table, White Wash","30"" x 36"" x 22""",,White,GTAB245WH,"$1,150.00 ",,X,,X,,,,,,,,X,X,High,,,,X,,X,X,,X,,,X,,,X,,,,X,,X,,,,,,,,,X,,,X,,,,,,$503.00
,,,Noir,"Oxford 2-Drawer Side Table, Hand Rubbed Black","30"" x 28"" x 20""",,Black,GTAB246HB,$749.00 ,,X,,X,,,,,,,,X,X,High,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,X,,,X,,X,,,X,$328.00
,,,Noir,"Oxford 2-Drawer Side Table, Weathered","30"" x 28"" x 20""",,Beige,GTAB246WEA,$749.00 ,,X,,X,,,,,,,,X,X,High,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,X,,,X,,X,,,X,$328.00
,,,Noir,"Oxford 2-Drawer Side Table, White Wash","30"" x 28"" x 20""",,White,GTAB246WH,$749.00 ,,X,,X,,,,,,,,X,X,High,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,X,,,X,,X,,,X,$328.00
,,,Noir,Imperial Side Table,"26""x 26"" x 26""",,Black,GTAB251HB,$878.00 ,,X,,X,,,,,,,,X,X,High,,,,X,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,$384.00
,,,Noir,"Imperial Side Table, White Wash","26""x 26"" x 26""",,White,GTAB251WH,$878.00 ,,X,,X,,,,,,,,X,X,High,,,,X,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,$384.00
,,,Noir,Industry Side Table,"31.5"" x 34"" x 20""",,Grey,GTAB254,"$1,038.00 ",,X,,X,,,,,,,,X,X,High,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,X,X,,,,,,$454.00
,,,Noir,"Rivoli Side Table, Antique Brass, Metal and Quartz","30"" x 25"" x 25""",,Metallic,GTAB278MB,$966.00 ,,X,,X,,,,,,,,X,X,High,,,,,X,X,X,X,,,X,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,$423.00
,,,Noir,Curved Front Side Table,"28.5"" x 30"" x 22""",,Beige,GTAB290VGR,"$1,261.00 ",,X,,X,,,,,,,,X,X,High,,,,X,,,,,,,X,,X,X,,,,,,,,,,,,,,,,X,,,,,X,X,,,$552.00
,,,Noir,"Zimmerman Side Table, Old Wood","28"" x 28"" x 28""",,Brown,GTAB292OW,$860.00 ,,X,,X,,,,,,,,X,X,High,,,,X,,,,,,,,,,,X,,,,X,,,,,,,,,,,X,,,X,,X,X,,,$376.00
,,,Noir,"Eclipse Round Side Table, Antique Brass","26"" x 22"" x 22""",,Metallic,GTAB302MB,"$1,384.00 ",,X,,X,,,,,,,,X,X,High,,,,,,,X,,,X,,,,,,X,,,X,X,,X,,,X,,,,,,X,X,,,,,,X,$606.00
,,,Noir,Eclipse Round Side Table,"26"" x 22"" x 22""",,Brown,GTAB302MT,$778.00 ,,X,,X,,,,,,,,X,X,High,,,,,,,X,,,X,,,,,,X,,,X,X,,X,,,X,,,,,,X,X,,,,,,X,$341.00
,,,Noir,"Tini Side Table, Antique Brass","24"" x 10"" x 10""",,Metallic,GTAB303MB,$531.00 ,,X,,X,,,,,,,,X,X,High,,,,,,,,X,,,X,,,,X,,,,X,X,,X,,,X,,X,,,,,,,,,,,,$232.00
,,,Noir,Tini Side Table,"24"" x 10"" x 10""",,Brown,GTAB303MT,$383.00 ,,X,,X,,,,,,,,X,X,High,,,,,,,,X,,,X,,,,X,,,,X,X,,X,,,X,,X,,,,,,,,,,,,$168.00
,,,Noir,"Ariana Side Table, Dark Walnut","28"" x 30"" x 30""",,Brown,GTAB335DW,$939.00 ,,X,,X,,,,,,,,X,X,High,,,,X,,,,,X,,,X,,,,,,X,X,,X,X,,,,,X,,,X,,,,,,,,,$411.00
,,,Noir,"Fatima Side Table, Dark Walnut","26.5"" x 28"" x 15""",,Brown,GTAB382DW,$816.00 ,,X,,X,,,,,,,,X,X,High,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$357.00
,,,Noir,"Zinc Round Table with X Base, Vintage","30"" x 60"" x 60""",,Beige,GTAB428,"$2,202.00",,,X,,,,,,,,,X,X,High,,,,X,,,,,X,,,,,,,,,,X,,X,,,,,,X,X,,X,,,,X,X,X,,,$964.00
,,,Noir,X Base Table with Hammered Zinc,"30.5"" x 84.5"" x 44""",,Beige,GTAB432,"$2,447.00",,,X,,,,,,,,,X,X,High,,,,X,,,,,,,,,,,,,,,X,,X,,,,X,X,,X,X,,,,,X,,X,,,"$1,071.00"
,,,Noir,"Zinc Top Table, Old Wood","29.5"" x 60"" x 60""",,Beige,GTAB445,"$2,670.00",,,X,,,,,,,,,X,X,High,,,,,,,,,X,,,,,,,X,,,,,X,X,,,X,,X,X,,X,,,,X,X,X,,,"$1,168.00"
,,,Noir,"Demetria Table, Metal and Quartz","29"" x 43"" x 37.5""",,Metallic,GTAB500MB,"$2,050.00",,,X,,,,,,,,,X,X,High,,,X,,X,,X,,,,,X,,X,,X,X,,,,,X,X,X,,,,,,,,X,X,,,,,X,$897.00
,,,Noir,"Laredo Table, 36"", Antique Brass, White Marble Top","29"" x 36"" x 36""",,Metallic,GTAB514MB-36,"$1,063.00",,,X,,,,,,,,,X,X,Mid,,,X,,X,X,,,,,,,,X,,X,X,,,,,,X,X,,X,,,,,X,X,X,,,,,,$465.00
,,,Noir,"Laredo Table, 40"", Antique Brass, White Marble Top","29"" x 40.5"" x 40.5""",,Metallic,GTAB514MB-40,"$1,268.00",,,X,,,,,,,,,X,X,Mid,,,X,,X,X,,,,,,,,X,,X,X,,,,,,X,X,,X,,,,,X,X,X,,,,,,$555.00
,,,Noir,"Laredo 36"" Bistro Table, Black Marble Top","29.5"" x 36"" x 36""",,Black,GTAB515MT-36,$855.00,,,X,,,,,,,,,X,X,Opening,,,X,,X,X,,,,,,,,X,,X,X,,,,,,X,X,,X,,,,,X,X,X,,,,,,$374.00
,,,Noir,"Laredo 40"" Bistro Table, Black Marble Top","29.5"" x 40"" x 40""",,Black,GTAB515MT-40,"$1,014.00",,,X,,,,,,,,,X,X,Mid,,,X,,X,X,,,,,,,,X,,X,X,,,,,,X,X,,X,,,,,X,X,X,,,,,,$443.00
