3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,EXTERNAL_ID,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,Cost
,,,Bhawan Textiles,"Layla Blue 2'-6"" x 12'-0""",,,Blue,LAYLLAY-01BKBB26C0,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,,X,X,X,,,,,X,X,X,,,,,,,X,,X,X,X,,,,X,X,,,$65.00 
,,,Bhawan Textiles,"Layla Blue 2'-6"" X 7'-6""",,,Blue,LAYLLAY-01BKBB2676,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,,X,X,X,,,,,X,X,X,,,,,,,X,,X,X,X,,,,X,X,,,$40.00 
,,,Bhawan Textiles,"Layla Blue 2'-6"" X 9'-6""",,,Blue,LAYLLAY-01BKBB2696,$169.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,,X,X,X,,,,,X,X,X,,,,,,,X,,X,X,X,,,,X,X,,,$55.00 
,,,Bhawan Textiles,"Layla Blue 3'-6"" x 5'-6""",,,Blue,LAYLLAY-01BKBB3656,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,,X,X,X,,,,,X,X,X,,,,,,,X,,X,X,X,,,,X,X,,,$40.00 
,,,Bhawan Textiles,"Layla Blue 5'-0"" x 7'-6""",,,Blue,LAYLLAY-01BKBB5076,$229.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,,X,X,X,,,,,X,X,X,,,,,,,X,,X,X,X,,,,X,X,,,$75.00 
,,,Bhawan Textiles,"Layla Blue 7'-6"" x 9'-6""",,,Blue,LAYLLAY-01BKBB7696,$439.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,,X,X,X,,,,,X,X,X,,,,,,,X,,X,X,X,,,,X,X,,,$145.00 
,,,Bhawan Textiles,"Layla Blue 9'-0"" x 12'-0""",,,Blue,LAYLLAY-01BKBB90C0,$749.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,,X,X,X,,,,,X,X,X,,,,,,,X,,X,X,X,,,,X,X,,,$249.00 
,,,Bhawan Textiles,"Layla Cobalt Blue 2'-6"" x 12'-0""",,,Blue,LAYLLAY-09CUSQ26C0,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$65.00 
,,,Bhawan Textiles,"Layla Cobalt Blue 2'-6"" X 7'-6""",,,Blue,LAYLLAY-09CUSQ2676,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$40.00 
,,,Bhawan Textiles,"Layla Cobalt Blue 2'-6"" X 9'-6""",,,Blue,LAYLLAY-09CUSQ2696,$169.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$55.00 
,,,Bhawan Textiles,"Layla Cobalt Blue 3'-6"" x 5'-6""",,,Blue,LAYLLAY-09CUSQ3656,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$40.00 
,,,Bhawan Textiles,"Layla Cobalt Blue 5'-0"" x 7'-6""",,,Blue,LAYLLAY-09CUSQ5076,$229.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$75.00 
,,,Bhawan Textiles,"Layla Cobalt Blue 7'-6"" x 9'-6""",,,Blue,LAYLLAY-09CUSQ7696,$439.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$145.00 
,,,Bhawan Textiles,"Layla Cobalt Blue 9'-0"" x 12'-0""",,,Blue,LAYLLAY-09CUSQ90C0,$749.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,X,X,,X,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$249.00 
,,,Bhawan Textiles,"Layla Ocean 2'-6"" x 12'-0""",,,Blue,LAYLLAY-05OCML26C0,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$65.00 
,,,Bhawan Textiles,"Layla Ocean 2'-6"" X 7'-6""",,,Blue,LAYLLAY-05OCML2676,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$40.00 
,,,Bhawan Textiles,"Layla Ocean 2'-6"" X 9'-6""",,,Blue,LAYLLAY-05OCML2696,$169.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$55.00 
,,,Bhawan Textiles,"Layla Ocean 3'-6"" x 5'-6""",,,Blue,LAYLLAY-05OCML3656,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$40.00 
,,,Bhawan Textiles,"Layla Ocean 5'-0"" x 7'-6""",,,Blue,LAYLLAY-05OCML5076,$229.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$75.00 
,,,Bhawan Textiles,"Layla Ocean 7'-6"" x 9'-6""",,,Blue,LAYLLAY-05OCML7696,$439.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$145.00 
,,,Bhawan Textiles,"Layla Ocean 9'-0"" x 12'-0""",,,Blue,LAYLLAY-05OCML90C0,$749.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$249.00 
,,,Bhawan Textiles,"Layla Olive 2'-6"" x 12'-0""",,,Green,LAYLLAY-03OLCC26C0,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$65.00 
,,,Bhawan Textiles,"Layla Olive 2'-6"" X 7'-6""",,,Green,LAYLLAY-03OLCC2676,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$40.00 
,,,Bhawan Textiles,"Layla Olive 2'-6"" X 9'-6""",,,Green,LAYLLAY-03OLCC2696,$169.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$55.00 
,,,Bhawan Textiles,"Layla Olive 3'-6"" x 5'-6""",,,Green,LAYLLAY-03OLCC3656,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$40.00 
,,,Bhawan Textiles,"Layla Olive 5'-0"" x 7'-6""",,,Green,LAYLLAY-03OLCC5076,$229.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$75.00 
,,,Bhawan Textiles,"Layla Olive 7'-6"" x 9'-6""",,,Green,LAYLLAY-03OLCC7696,$439.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$145.00 
,,,Bhawan Textiles,"Layla Olive 9'-0"" x 12'-0""",,,Green,LAYLLAY-03OLCC90C0,$749.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$249.00 
,,,Bhawan Textiles,"Layla Red 2'-6"" x 12'-0""",,,Red,LAYLLAY-08RENV26C0,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,X,,,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$65.00 
,,,Bhawan Textiles,"Layla Red 2'-6"" X 7'-6""",,,Red,LAYLLAY-08RENV2676,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,X,,,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$40.00 
,,,Bhawan Textiles,"Layla Red 2'-6"" X 9'-6""",,,Red,LAYLLAY-08RENV2696,$169.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,X,,,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$55.00 
,,,Bhawan Textiles,"Layla Red 3'-6"" x 5'-6""",,,Red,LAYLLAY-08RENV3656,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,X,,,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$40.00 
,,,Bhawan Textiles,"Layla Red 5'-0"" x 7'-6""",,,Red,LAYLLAY-08RENV5076,$229.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,X,,,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$75.00 
,,,Bhawan Textiles,"Layla Red 7'-6"" x 9'-6""",,,Red,LAYLLAY-08RENV7696,$439.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,X,,,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$145.00 
,,,Bhawan Textiles,"Layla Red 9'-0"" x 12'-0""",,,Red,LAYLLAY-08RENV90C0,$749.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,X,,,X,X,,X,X,,,,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,X,X,X,X,X,X,$249.00 
,,,Bhawan Textiles,"Layla Rust 2'-6"" x 12'-0""",,,Brown,LAYLLAY-04OCRU26C0,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$65.00 
,,,Bhawan Textiles,"Layla Rust 2'-6"" X 7'-6""",,,Brown,LAYLLAY-04OCRU2676,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$40.00 
,,,Bhawan Textiles,"Layla Rust 2'-6"" X 9'-6""",,,Brown,LAYLLAY-04OCRU2696,$169.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$55.00 
,,,Bhawan Textiles,"Layla Rust 3'-6"" x 5'-6""",,,Brown,LAYLLAY-04OCRU3656,$129.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$40.00 
,,,Bhawan Textiles,"Layla Rust 5'-0"" x 7'-6""",,,Brown,LAYLLAY-04OCRU5076,$229.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$75.00 
,,,Bhawan Textiles,"Layla Rust 7'-6"" x 9'-6""",,,Brown,LAYLLAY-04OCRU7696,$439.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$145.00 
,,,Bhawan Textiles,"Layla Rust 9'-0"" x 12'-0""",,,Brown,LAYLLAY-04OCRU90C0,$749.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,X,,,$249.00 
,,,Bhawan Textiles,"Layla Spice 2'-6"" x 12'-0""",,,Orange,LAYLLAY-02SQNN26C0,$199.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,X,X,,,,X,X,,,$65.00 
