Product Name,External_ID,Product ID
"Oliver Sofa- 90"", Pebble Weave, Linen",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3335-1.Leg001-1,
"Oliver Sofa- 90"", Pebble Weave, Zinc",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3335-22.Leg001-1,
"Oliver Sofa- 90"", Pebble Weave, Storm",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3335-204.Leg001-1,
"Oliver Sofa- 90"", Pebble Weave, Basin",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3335-312.Leg001-1,
"Oliver Sofa- 90"", Pebble Weave, Cocoa",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3335-307.Leg001-1,
"Oliver Sofa- 90"", Heavy Cloth, Coffee",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3385-69.Leg001-1,
"Oliver Sofa- 90"", Heavy Cloth, Charcoal",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3385-96.Leg001-1,
"Oliver Sofa- 90"", Heavy Cloth, Ivory",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3385-1.Leg001-1,
"Oliver Sofa- 90"", Heavy Cloth, Midnight Blue",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3385-19.Leg001-1,
"Oliver Sofa- 90"", Heavy Cloth, Natural",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3385-99.Leg001-1,
"Oliver Sofa- 90"", Heavy Cloth, Ore",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3385-216A.Leg001-1,
"Oliver Sofa- 90"", Heavy Cloth, Panther",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3385-4.Leg001-1,
"Oliver Sofa- 90"", Heavy Cloth, Slate",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3385-93.Leg001-1,
"Oliver Sofa- 102"", Mod Velvet, Blush",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.AK-618-175.Leg001-1,
"Oliver Sofa- 102"", Mod Velvet, Elephant",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.AK-618-18.Leg001-1,
"Oliver Sofa- 102"", Mod Velvet, Greige",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.AK-618-16.Leg001-1,
"Oliver Sofa- 102"", Mod Velvet, Narwhal",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.AK-618-40.Leg001-1,
"Oliver Sofa- 102"", Mod Velvet, Quartz",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.AK-618-12.Leg001-1,
"Oliver Sofa- 102"", Mod Velvet, Sapphire",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.AK-618-25.Leg001-1,
"Oliver Sofa- 102"", Pebble Weave, Dove",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3335-21.Leg001-1,
"Oliver Sofa- 102"", Pebble Weave, Linen",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3335-1.Leg001-1,
"Oliver Sofa- 102"", Pebble Weave, Zinc",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3335-22.Leg001-1,
"Oliver Sofa- 102"", Pebble Weave, Storm",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3335-204.Leg001-1,
"Oliver Sofa- 102"", Pebble Weave, Basin",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3335-312.Leg001-1,
"Oliver Sofa- 102"", Pebble Weave, Cocoa",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3335-307.Leg001-1,
"Oliver Sofa- 102"", Heavy Cloth, Coffee",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3385-69.Leg001-1,
"Oliver Sofa- 102"", Heavy Cloth, Charcoal",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3385-96.Leg001-1,
"Oliver Sofa- 102"", Heavy Cloth, Ivory",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3385-1.Leg001-1,
"Oliver Sofa- 102"", Heavy Cloth, Midnight Blue",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3385-19.Leg001-1,
"Oliver Sofa- 102"", Heavy Cloth, Natural",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3385-99.Leg001-1,
"Oliver Sofa- 102"", Heavy Cloth, Ore",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3385-216A.Leg001-1,
"Oliver Sofa- 102"", Heavy Cloth, Panther",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3385-4.Leg001-1,
"Oliver Sofa- 102"", Heavy Cloth, Slate",OLIV.FABRIC.SOFA.STNDRD.LENGTH-102.NT-3385-93.Leg001-1,
"Owens Accent chair, Heavy Cloth, Charcoal",OLIV.FABRIC.CHAR.ACCENT.NT-3385-96.Leg001-1,
"Owens Accent chair, Heavy Cloth, Coffee",OLIV.FABRIC.CHAR.ACCENT.NT-3385-69.Leg001-1,
"Owens Accent chair, Heavy Cloth, Ivory",OLIV.FABRIC.CHAR.ACCENT.NT-3385-1.Leg001-1,
"Owens Accent chair, Heavy Cloth, Midnight Blue",OLIV.FABRIC.CHAR.ACCENT.NT-3385-19.Leg001-1,
"Owens Accent chair, Heavy Cloth, Natural",OLIV.FABRIC.CHAR.ACCENT.NT-3385-99.Leg001-1,
"Owens Accent chair, Heavy Cloth, Ore",OLIV.FABRIC.CHAR.ACCENT.NT-3385-216A.Leg001-1,
"Owens Accent chair, Heavy Cloth, Panther",OLIV.FABRIC.CHAR.ACCENT.NT-3385-4.Leg001-1,
"Owens Accent chair, Heavy Cloth, Slate",OLIV.FABRIC.CHAR.ACCENT.NT-3385-93.Leg001-1,
"Owens Accent chair, Mod Velvet, Blush",OLIV.FABRIC.CHAR.ACCENT.AK-618-175.Leg001-1,
"Owens Accent chair, Mod Velvet, Elephant",OLIV.FABRIC.CHAR.ACCENT.AK-618-18.Leg001-1,
"Owens Accent chair, Mod Velvet, Greige",OLIV.FABRIC.CHAR.ACCENT.AK-618-16.Leg001-1,
"Owens Accent chair, Mod Velvet, Narwhal",OLIV.FABRIC.CHAR.ACCENT.AK-618-40.Leg001-1,
